"","Zipcode","price","bedrooms","bathrooms","addr","Restaurant","Store","Club.Bar","Transport","Art.Ent"
"1",1040,8500,2,2,"2 River Ter #3S","1","1","1","1","1"
"2",1085,18700,3,4,"35 Union Sq W #2","1","1","1","1","1"
"3",1105,8995,2,1,"79-81 White St #6W","1","1","1","1","1"
"4",1601,4300,2,2,"455 Main St #11L","1","1","1","1","1"
"5",1748,3000,1,3,"35 Grove St #4A","1","1","1","1","1"
"6",1801,3400,3,1,"154 Ridge St #4","1","1","1","1","1"
"7",1803,2295,1,1,"35 Bedford St #3","1","1","1","1","1"
"8",1803,3495,1,1,"35 Bedford St #24","1","1","1","1","1"
"9",1835,3850,1,1,"6 Charles St #2B","1","1","1","1","1"
"10",1854,3500,1,1,"50 Pine St #8FL11","1","1","1","1","1"
"11",1945,3695,1,1,"17 Cliff St #9CJ","1","1","1","1","1"
"12",1952,10350,3,3,"200 N End Ave #8A","1","1","1","1","1"
"13",1952,16650,4,3,"200 N End Ave #14PQ","1","1","1","1","1"
"14",1952,10750,3,2,"200 N End Ave #12EF","1","1","1","1","1"
"15",1952,4850,1,1,"200 N End Ave #11D","1","1","1","1","1"
"16",1952,9175,3,2,"211 N End Ave #19E","1","1","1","1","1"
"17",1952,8975,3,2,"211 N End Ave #15D","1","1","1","1","1"
"18",1952,4895,1,1,"211 N End Ave #16J","1","1","1","1","1"
"19",1952,7150,2,2,"211 N End Ave #15L","1","1","1","1","1"
"20",1952,4750,1,1,"200 N End Ave #3L","1","1","1","1","1"
"21",1952,7500,2,2,"200 N End Ave #11H","1","1","1","1","1"
"22",1952,9900,2,2,"200 N End Ave #28D","1","1","1","1","1"
"23",2035,6500,2,2,"8 Beach St #2","1","1","1","1","1"
"24",2054,3495,1,1,"78 Ridge St #4C","1","1","1","1","1"
"25",2072,2495,1,6,"90 Washington St #20A","1","1","1","1","1"
"26",2072,2825,1,1,"90 Washington St #14C","1","1","1","1","1"
"27",2072,2675,1,1,"90 Washington St #7P","1","1","1","1","1"
"28",2072,4125,3,1,"90 Washington St #24M","1","1","1","1","1"
"29",2114,10300,2,2,"80 Franklin St #3","1","1","1","1","1"
"30",2145,3750,2,1,"425 Broadway #3B","1","1","1","1","1"
"31",2148,3000,1,1,"480 Main St #20G","1","1","1","1","1"
"32",2174,3995,2,1,"114 Ridge St #5A","1","1","1","1","1"
"33",2174,2900,1,1,"114 Ridge St #3F","1","1","1","1","1"
"34",2174,2750,1,8,"114 Ridge St #2D","1","1","1","1","1"
"35",2359,5115,1,6,"456 Washington St #29119","1","1","1","1","1"
"36",2359,9215,2,2,"456 Washington St #29104","1","1","1","1","1"
"37",2359,39000,5,4,"456 Washington St #9A","1","1","1","1","1"
"38",2359,9365,2,2,"456 Washington St #29127","1","1","1","1","1"
"39",2359,17290,3,3,"456 Washington St #29168","1","1","1","1","1"
"40",2458,4200,2,1,"661 Washington St #3F","1","1","1","1","1"
"41",2458,26500,3,2,"471 Washington St #5","1","1","1","1","1"
"42",2767,3286,1,1,"70 Pine St #4907","1","1","1","1","1"
"43",2767,3462,1,1,"70 Pine St #925","1","1","1","1","1"
"44",2767,9000,3,2,"70 Pine St #1103","1","1","1","1","1"
"45",2767,5169,2,1,"70 Pine St #2703","1","1","1","1","1"
"46",2767,6817,2,2,"70 Pine St #5105","1","1","1","1","1"
"47",2767,7892,3,2,"70 Pine St #720","1","1","1","1","1"
"48",2767,6414,2,2,"70 Pine St #1406","1","1","1","1","1"
