"CAMIS","DBA","BORO","BUILDING","STREET","ZIPCODE","PHONE","CUISINE.DESCRIPTION","INSPECTION.DATE","ACTION","VIOLATION.CODE","VIOLATION.DESCRIPTION","CRITICAL.FLAG","SCORE","GRADE","GRADE.DATE","RECORD.DATE","INSPECTION.TYPE","add","lon","lat","geoAddress"
50009366,"GO BELIEVE BAKERY","MANHATTAN","239","GRAND ST",10002,"2127750102","Chinese","7/14/14","Violations were cited in the following area(s).","02B","Hot food item not held at or above 140í‰Œ_ F.","Critical",26,"B","7/14/14","9/27/17","Pre-permit (Operational) / Re-inspection","239 GRAND ST",-73.9945592,40.7182597,"239 grand st, new york, ny 10002, usa"
41483297,"CO BA RESTAURANT","MANHATTAN","110","9TH AVE",10011,"2124142700","Vietnamese/Cambodian/Malaysia","11/15/16","Violations were cited in the following area(s).","02B","Hot food item not held at or above 140í‰Œ_ F.","Critical",14,"","","9/27/17","Cycle Inspection / Initial Inspection","110 9TH AVE",-74.0036711,40.7428878,"110 9th ave, new york, ny 10011, usa"
50033948,"LUCKY STARS BAKERY","MANHATTAN","280","GRAND ST",10002,"2122198434","Chinese","8/26/15","Establishment Closed by DOHMH.  Violations were cited in the following area(s) and those requiring immediate action were addressed.","10B","Plumbing not properly installed or maintained; anti-siphonage or backflow prevention device not provided where required; equipment or floor not properly drained; sewage disposal system in disrepair or not functioning properly.","Not Critical",57,"","","9/27/17","Cycle Inspection / Initial Inspection","280 GRAND ST",-73.9924961,40.7179757,"280 grand st, new york, ny 10002, usa"
50001019,"BROADWAY CAFE","MANHATTAN","1123","BROADWAY",10010,"2127279797","Delicatessen","6/30/16","Violations were cited in the following area(s).","10B","Plumbing not properly installed or maintained; anti-siphonage or backflow prevention device not provided where required; equipment or floor not properly drained; sewage disposal system in disrepair or not functioning properly.","Not Critical",49,"","","9/27/17","Cycle Inspection / Initial Inspection","1123 BROADWAY",-73.989291,40.7433495,"1123 broadway, new york, ny 10010, usa"
50048097,"MEE'S NOODLE","MANHATTAN","930","2ND AVE",10022,"2128880027","Chinese","9/15/16","Violations were cited in the following area(s).","06A","Personal cleanliness inadequate. Outer garment soiled with possible contaminant.  Effective hair restraint not worn in an area where food is prepared.","Critical",18,"B","9/15/16","9/27/17","Cycle Inspection / Re-inspection","930 2ND AVE",-73.968458,40.754396,"930 2nd ave, new york, ny 10022, usa"
50008279,"GARLIC PIZZA BAR","MANHATTAN","629","2ND AVE",10016,"6465599500","Pizza/Italian","1/14/16","Violations were cited in the following area(s).","04H","Raw, cooked or prepared food is adulterated, contaminated, cross-contaminated, or not discarded in accordance with HACCP plan.","Critical",17,"","","9/27/17","Cycle Inspection / Initial Inspection","629 2ND AVE",-73.9759487,40.7451798,"629 2nd ave, new york, ny 10016, usa"
41541660,"KRISPY KREME","MANHATTAN","2","PENN PLAZA",10121,"2126950428","Donuts","8/18/15","Violations were cited in the following area(s).","08A","Facility not vermin proof. Harborage or conditions conducive to attracting vermin to the premises and/or allowing vermin to exist.","Not Critical",16,"B","8/18/15","9/27/17","Cycle Inspection / Re-inspection","2 PENN PLAZA",-73.9921676,40.7499718,"2 pennsylvania plaza, new york, ny 10121, usa"
50019000,"IDEA COFFEE","MANHATTAN","246","5TH AVE",10001,"6468961533","Korean","1/27/17","Violations were cited in the following area(s).","10H","Proper sanitization not provided for utensil ware washing operation.","Not Critical",7,"A","1/27/17","9/27/17","Cycle Inspection / Initial Inspection","246 5TH AVE",-73.9877913,40.7447042,"246 5th ave, new york, ny 10001, usa"
40871070,"ACQUA","MANHATTAN","718","AMSTERDAM AVENUE",10025,"2122222752","Italian","6/12/14","Violations were cited in the following area(s).","04N","Filth flies or food/refuse/sewage-associated (FRSA) flies present in facilitys food and/or non-food areas. Filth flies include house flies, little house flies, blow flies, bottle flies and flesh flies. Food/refuse/sewage-associated flies include fruit flies, drain flies and Phorid flies.","Critical",19,"","","9/27/17","Cycle Inspection / Initial Inspection","718 AMSTERDAM AVENUE",-73.971253,40.793391,"718 amsterdam ave, new york, ny 10025, usa"
40559172,"USKUDAR RESTAURANT","MANHATTAN","1405","SECOND AVENUE",10021,"2129882641","Turkish","4/9/15","Violations were cited in the following area(s).","10E","Accurate thermometer not provided in refrigerated or hot holding equipment.","Not Critical",28,"","","9/27/17","Cycle Inspection / Initial Inspection","1405 SECOND AVENUE",-73.9580268,40.7697709,"1405 2nd ave, new york, ny 10021, usa"
