price,bedrooms,bathrooms,addr,lat,lng
"5,300",1,1,43 E 10th St #4H,39.820188,-75.415799
"3,300",1,1,35 E 10th St #2-G,39.8202006,-75.4160957
"3,800",2,1,316 W 39th St #2E,39.8264897,-86.1645839
"2,700",1,4,330 E 46th St #8C,39.8397769,-86.1510942
"2,700",1,4,330 E 46th St #9M,39.8397769,-86.1510942
"3,600",1,1,330 E 46th St #4B,39.8397769,-86.1510942
"6,200",1,1,54 W 9th St #4,39.8514177,-75.3644868
"4,200",1,1,36 W 9th St #5,39.8515902,-75.3642357
"3,800",1,1,44 E End Ave #5FF,39.895247,-75.0416308
"2,825",1,1,501 1/2 W 43rd St #1R,39.971799,-80.7570904
"3,650",1,1,56 Pine St #3A,39.9911325,-74.7850485
"2,700",2,1,35 Market St #2,40.0223115,-79.8869244
"19,995",3,2,30 Park Pl #40E,40.0403329,-77.540016
"2,995",1,1,66 Avenue A #3G,40.0533663,-75.1398726
"6,895",4,2,130 William St #12BJ,40.2061447,-74.7413129
"2,500",2,1,543 E 5th St #3,40.2358235,-83.3604952
"2,600",1,1,543 E 5th St #2,40.2358235,-83.3604952
"2,195",1,1,225 E 5th St #3BR,40.2360049,-83.3648179
"3,395",3,1,31 Market St #3-33,40.2520356,-76.897048
"10,200",3,3,330 Spring St #2C,40.3502956,-75.9306551
"4,995",1,1,37 E 4th St #4B,40.3928301,-84.3796505
"3,000",1,1,1601 3rd Ave #16C,40.4214274,-78.4388673
"5,200",2,2,1601 3rd Ave #30K,40.4214274,-78.4388673
"2,895",1,4,154 E 29th St #610,40.421588,-105.076325
"3,350",1,1,154 E 29th St #306,40.421588,-105.076325
"3,495",1,1,154 E 29th St #1708,40.421588,-105.076325
"29,500",4,2,112 Washington Pl #TOWNHOUSE,40.4394236,-79.9921601
"1,750",1,1,28 Arden St #5F,40.4947797,-74.4813131
"2,895",1,2,33 W End Ave #13B,40.5702823,-74.6190221
"3,025",1,1,55 W End Ave #R6B,40.5710576,-74.6206769
"4,915",2,2,55 W End Ave #S5M,40.5710576,-74.6206769
"6,325",3,2,55 W End Ave #P32B,40.5710576,-74.6206769
"3,195",1,1,200 W End Ave #6K,40.5744889,-74.6259896
"3,300",1,3,200 W End Ave #7N,40.5744889,-74.6259896
"3,430",1,1,91 W End Ave #012RJ,40.579447,-73.953153
"4,760",1,1,21 W End Ave #3501,40.5810441,-73.9536714
"4,140",1,1,21 W End Ave #3408,40.5810441,-73.9536714
"4,545",1,1,21 W End Ave #13,40.5810441,-73.9536714
"4,220",1,1,21 W End Ave #4306,40.5810441,-73.9536714
"4,200",1,1,21 W End Ave #34BB,40.5810441,-73.9536714
"5,975",1,1,21 W End Ave #36C,40.5810441,-73.9536714
"6,175",2,2,21 W End Ave #18DD,40.5810441,-73.9536714
"3,430",1,1,21 W End Ave #21A,40.5810441,-73.9536714
"4,030",1,6,21 W End Ave #7,40.5810441,-73.9536714
"2,750",2,1,120 W 3rd St #3,40.6114836,-75.380949
"3,695",1,1,20 Commerce St #3D,40.6130949,-74.1679308
